feature,importance,modality
KCNU1_geneExp,0.0022577671,mRNA
LDHA_geneExp,0.002238517,mRNA
HMOX2_geneExp,0.0021663036,mRNA
CACNA2D3_geneExp,0.0021532762,mRNA
SMPD3_geneExp,0.0020323112,mRNA
CHKB_methylation,0.001983616,methylation
LPL_geneExp,0.0019758036,mRNA
MOSMO_methylation,0.0019666653,methylation
RAB9B_geneExp,0.0019258648,mRNA
PFKFB4_geneExp,0.0018875909,mRNA
MCM4_methylation,0.0018634726,methylation
FUT1_geneExp,0.001853006,mRNA
TPCN2_geneExp,0.0018225178,mRNA
RORA_geneExp,0.0017946722,mRNA
ZNF792_geneExp,0.001749524,mRNA
CYP27A1_geneExp,0.0017196571,mRNA
ACER2_methylation,0.0017150799,methylation
WNT3_methylation,0.0017061635,methylation
HPGDS_methylation,0.0017037059,methylation
MIR99B_miRNAExp,0.0017018955,miRNA
IL2RG_geneExp,0.0016992524,mRNA
MEF2C_methylation,0.0016705527,methylation
MIR424_miRNAExp,0.0016334878,miRNA
SAT1_geneExp,0.0015743622,mRNA
TRPM8_methylation,0.0015507576,methylation
EPHA3_methylation,0.0015213888,methylation
DPF1_methylation,0.0014693483,methylation
PFKFB1_geneExp,0.0014691914,mRNA
CGA_geneExp,0.0014518802,mRNA
CDC25A_geneExp,0.00138842,mRNA
GUCY1B1_methylation,0.0012769715,methylation
CDK4_geneExp,0.0012619529,mRNA
RCOR1_geneExp,0.0012538909,mRNA
PHKG1_methylation,0.0012511335,methylation
GRB2_geneExp,0.0012357918,mRNA
KLK3_methylation,0.0012128568,methylation
CACNB4_geneExp,0.0011953183,mRNA
PRKAG1_geneExp,0.0011717316,mRNA
EPHB2_geneExp,0.0011636998,mRNA
ARRB2_methylation,0.0011562037,methylation
SLC3A2_methylation,0.0011188361,methylation
INSRR_geneExp,0.001117831,mRNA
MIR92A-1_miRNAExp,0.0010857295,miRNA
ALPI_geneExp,0.0010830046,mRNA
MIR6509_miRNAExp,0.0010487349,miRNA
PLA2G4A_geneExp,0.0010418857,mRNA
CYTH4_geneExp,0.0009712921,mRNA
B3GNT4_geneExp,0.000947535,mRNA
MIR509-1_miRNAExp,0.00094681745,miRNA
IL10RB_geneExp,0.00092056836,mRNA
PKN2_methylation,0.00091830094,methylation
RBX1_methylation,0.0009170722,methylation
TTK_geneExp,0.00091545883,mRNA
SMAD3_geneExp,0.0008957082,mRNA
ADRB1_geneExp,0.0008927508,mRNA
ATP1A3_methylation,0.00089076866,methylation
GBA2_geneExp,0.00088213966,mRNA
FANCA_methylation,0.0008528837,methylation
TERT_geneExp,0.00085099274,mRNA
PDE1B_geneExp,0.0008504598,mRNA
NMUR1_methylation,0.00083297124,methylation
PTCH2_geneExp,0.0008301607,mRNA
NUP188_geneExp,0.0008014865,mRNA
MFNG_geneExp,0.000794298,mRNA
MIR5690_miRNAExp,0.0007738606,miRNA
CAV1_geneExp,0.0007619462,mRNA
MIR487A_miRNAExp,0.0007176071,miRNA
FOSL1_geneExp,0.0007158013,mRNA
